cmi.interaction_answered,test_completed,module_completed,homework_scored,quiz_viewed,quiz_receive,test_start,homework_min_score,homework_avg_score,homework_max_score,test_min_score,test_avg_score,test_max_score,Place_in_course,Place_in_institution,successful_homeworks,successful_tests
0.9428571428571428,0.7692307692307693,0.7142857142857142,0.8333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.660026401056042,0.0,0.7307692307692308,0.8205128205128206,0.8333333333333333,0.7692307692307693
0.9714285714285714,0.7692307692307693,0.7142857142857142,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8300332013280531,0.0,0.8717948717948718,0.9145299145299146,0.6666666666666666,0.7692307692307693
0.9714285714285714,0.42307692307692313,0.2857142857142857,0.2222222222222222,1.0,1.0,1.0,1.0,1.0,1.0,0.3333750052089841,0.5383298665279942,0.8,0.15384615384615388,0.282051282051282,0.2222222222222222,0.42307692307692313
0.7142857142857143,0.7307692307692308,0.7142857142857142,0.6666666666666666,0.8,0.8,0.8,0.0,0.9166666666666666,1.0,0.8334375130224609,0.9271204181500592,1.0,0.7435897435897436,0.8290598290598291,0.6666666666666666,0.7307692307692308
1.0,0.8076923076923077,0.7619047619047619,0.8888888888888888,1.0,1.0,1.0,0.6,0.9624999999999999,1.0,0.0,0.7066549328639812,0.0,0.6923076923076923,0.7863247863247864,0.8888888888888888,0.8076923076923077
1.0,0.19230769230769232,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5000625078134767,0.6433190660959772,0.75,0.08974358974358977,0.18803418803418798,0.0,0.19230769230769232
1.0,0.8076923076923077,0.7619047619047619,0.8333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7683240662959852,0.0,0.8589743589743589,0.9059829059829061,0.8333333333333333,0.8076923076923077
1.0,0.42307692307692313,0.2857142857142857,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.642500700028001,0.0,0.37179487179487175,0.5299145299145299,0.3333333333333333,0.42307692307692313
1.0,0.8461538461538463,0.8095238095238095,0.8333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6833206661599794,0.0,0.7692307692307693,0.8461538461538463,0.8333333333333333,0.8461538461538463
0.22857142857142856,0.5384615384615385,0.6190476190476191,0.7222222222222222,0.2,0.2,0.2,1.0,1.0,1.0,0.0,0.9375375015000599,0.0,0.9615384615384615,0.9743589743589745,0.7222222222222222,0.5384615384615385
1.0,0.6153846153846154,0.5238095238095237,0.611111111111111,1.0,1.0,1.0,0.0,0.7636363636363637,1.0,0.0,0.7633638678880487,0.0,0.25641025641025644,0.358974358974359,0.611111111111111,0.6153846153846154
1.0,0.3076923076923077,0.14285714285714285,0.05555555555555555,1.0,1.0,1.0,0.6,0.6,0.6,0.0,0.7799911996479858,0.0,0.17948717948717943,0.29914529914529914,0.05555555555555555,0.3076923076923077
1.0,0.6153846153846154,0.5238095238095237,0.5555555555555556,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6383321999546647,0.0,0.5641025641025642,0.6923076923076923,0.5555555555555556,0.6153846153846154
1.0,0.38461538461538464,0.23809523809523808,0.2777777777777778,1.0,1.0,1.0,0.8,0.96,1.0,0.0,0.6350004000160007,0.0,0.2820512820512821,0.41025641025641024,0.2777777777777778,0.38461538461538464
1.0,0.46153846153846156,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.6667500104179692,0.7816979345840501,0.9,0.6666666666666666,0.7692307692307693,0.3333333333333333,0.46153846153846156
0.22857142857142856,0.038461538461538464,0.0,0.0,0.4,0.2,0.2,0.0,0.0,0.0,0.5000625078134767,0.500020000800032,0.5,0.025641025641025664,0.05982905982905974,0.0,0.038461538461538464
1.0,0.8076923076923077,0.7619047619047619,0.8333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6016824006293585,0.0,0.6538461538461539,0.7606837606837608,0.8333333333333333,0.8076923076923077
1.0,0.5,0.38095238095238093,0.38888888888888884,1.0,1.0,1.0,0.0,0.7999999999999999,1.0,0.0,0.7033614677920449,0.0,0.23076923076923075,0.34188034188034183,0.38888888888888884,0.5
1.0,0.8076923076923077,0.7619047619047619,0.7777777777777777,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5233542675040334,0.0,0.5128205128205129,0.6581196581196581,0.7777777777777777,0.8076923076923077
1.0,0.6538461538461539,0.5714285714285714,0.611111111111111,1.0,1.0,1.0,0.0,0.8727272727272727,1.0,0.2000250031253907,0.46168513407202943,0.875,0.16666666666666666,0.2905982905982906,0.611111111111111,0.6538461538461539
0.7142857142857143,0.7692307692307693,0.7619047619047619,0.8333333333333333,0.8,0.8,0.8,0.6,0.9733333333333333,1.0,0.5000625078134767,0.7916983346000507,1.0,0.7948717948717948,0.8632478632478634,0.8333333333333333,0.7692307692307693
0.9714285714285714,0.5,0.38095238095238093,0.4444444444444444,1.0,1.0,1.0,0.0,0.85,1.0,0.0,0.7549651986079442,0.0,0.32051282051282054,0.45299145299145305,0.4444444444444444,0.5
1.0,0.5384615384615385,0.42857142857142855,0.4444444444444444,1.0,1.0,1.0,1.0,1.0,1.0,0.5000625078134767,0.7733642679040496,1.0,0.7051282051282051,0.8034188034188036,0.4444444444444444,0.5384615384615385
