course_viewed,link_viewed,module_completed,test_completed,resource_viewed,forum-topic_viewed,test_start,discussion_viewed,cmi.interaction_answered,discussion_create,homework_scored,homework_submit,attempt_viewed,assessment_viewed,homework_min_score,homework_avg_score,homework_max_score,test_min_score,test_avg_score,test_max_score,Place_in_course,Place_in_institution,successful_homeworks,successful_tests
0.007177033492822966,0.015037593984962405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.019138755980861243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9043062200956938,0.3458646616541353,0.0,0.0,0.23809523809523808,0.25,0.0,0.0,0.0,1.0,0.0,0.0,0.375,0.48936170212765956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.11483253588516747,0.3082706766917293,0.875,0.6,0.2857142857142857,0.0,0.6,0.0,0.5714285714285714,0.0,0.7272727272727273,0.42105263157894735,0.5416666666666666,0.36170212765957444,0.85,0.95,1.0,0.8,0.9444444444444444,1.0,0.3877551020408163,0.4319248826291079,0.7272727272727273,0.6
0.2751196172248804,0.40601503759398494,0.375,0.13333333333333333,0.23809523809523808,0.0,0.2,0.0,0.07142857142857142,0.0,0.7272727272727273,0.3684210526315789,0.16666666666666666,0.2127659574468085,0.3,0.8025,1.0,1.0,1.0,1.0,0.1020408163265305,0.2159624413145539,0.7272727272727273,0.13333333333333333
0.5980861244019139,0.40601503759398494,0.9375,0.0,0.2857142857142857,0.25,0.4666666666666667,1.0,0.0,0.0,0.7272727272727273,0.42105263157894735,0.4583333333333333,0.5106382978723404,0.8,0.96625,1.0,0.0,0.0,0.0,0.5510204081632653,0.6056338028169014,0.7272727272727273,0.0
0.3851674641148325,0.39849624060150374,0.9375,0.4666666666666667,0.38095238095238093,0.5,0.4666666666666667,0.0,0.46428571428571425,0.0,0.7272727272727273,1.0,0.29166666666666663,0.2553191489361702,0.9,0.95,1.0,0.8,0.9,1.0,0.22448979591836737,0.28169014084507027,0.7272727272727273,0.4666666666666667
0.13157894736842105,0.18045112781954886,0.5,0.4666666666666667,0.23809523809523808,0.0,0.5333333333333333,0.0,0.42857142857142855,0.0,0.6363636363636364,0.3684210526315789,0.3333333333333333,0.36170212765957444,0.8,0.9571428571428572,1.0,0.9,0.9857142857142858,1.0,0.6122448979591837,0.6666666666666666,0.6363636363636364,0.4666666666666667
0.2344497607655502,0.23308270676691728,0.625,0.3333333333333333,0.19047619047619047,0.0,0.3333333333333333,0.0,0.2857142857142857,0.0,0.7272727272727273,0.3157894736842105,0.20833333333333331,0.19148936170212766,0.95,0.9875,1.0,0.9,0.9800000000000001,1.0,0.8367346938775511,0.8356807511737089,0.7272727272727273,0.3333333333333333
0.284688995215311,0.39849624060150374,0.8125,0.4666666666666667,1.0,1.0,0.4666666666666667,0.0,0.46428571428571425,0.0,0.7272727272727273,0.42105263157894735,0.25,0.3404255319148936,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.7272727272727273,0.4666666666666667
