course_viewed,resource_viewed,link_viewed,module_completed,test_completed,forum-topic_viewed,discussion_viewed,module_viewed,discussion_create,homework_scored,homework_min_score,homework_avg_score,homework_max_score,Place_in_course,Place_in_institution,successful_homeworks,successful_tests
0.02905982905982906,0.010273972602739725,0.017857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.13675213675213677,0.3458904109589041,0.09821428571428571,0.22222222222222224,0.45,0.0,0.125,0.058823529411764705,0.0,0.8571428571428571,0.0,0.6758333333333332,1.0,0.52,0.5200000000000001,0.8571428571428571,0.45
0.14871794871794872,0.1404109589041096,0.125,0.5333333333333333,0.35000000000000003,0.0,0.0625,0.11764705882352941,0.0,0.8571428571428571,0.0,0.5508333333333332,1.0,0.32000000000000006,0.3200000000000002,0.8571428571428571,0.35000000000000003
0.42735042735042733,0.46232876712328763,0.27678571428571425,0.24444444444444446,0.45,0.0,0.0,0.0,0.0,0.9285714285714285,0.0,0.7676923076923076,1.0,0.6,0.6,0.9285714285714285,0.45
0.49743589743589745,0.5068493150684932,0.3482142857142857,0.6,0.8500000000000001,0.030303030303030304,0.0,0.1764705882352941,0.0,0.8571428571428571,0.8699999999999999,0.9674999999999998,1.0,0.9199999999999999,0.9199999999999996,0.8571428571428571,0.8500000000000001
0.18974358974358974,0.23972602739726026,0.16964285714285712,0.26666666666666666,0.6000000000000001,0.0,0.0625,0.058823529411764705,0.0,0.8571428571428571,0.0,0.6658333333333332,1.0,0.47999999999999987,0.47999999999999987,0.8571428571428571,0.6000000000000001
0.11965811965811966,0.1267123287671233,0.2232142857142857,0.22222222222222224,0.45,0.0,0.0,0.11764705882352941,0.0,0.7142857142857142,0.0,0.818,1.0,0.6400000000000001,0.64,0.7142857142857142,0.45
0.05811965811965812,0.14726027397260272,0.14285714285714285,0.022222222222222223,0.1,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.16666666666666663,1.0,0.03999999999999998,0.04000000000000015,0.8571428571428571,0.1
0.11965811965811966,0.13356164383561642,0.1875,0.08888888888888889,0.2,0.12121212121212122,0.3125,0.1764705882352941,0.0,0.9285714285714285,0.0,0.30769230769230765,1.0,0.11999999999999988,0.12,0.9285714285714285,0.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857142,0.0,0.0,0.0,0.0,0.0,0.7142857142857142,0.0
0.6239316239316239,0.5513698630136986,0.3482142857142857,0.35555555555555557,0.75,0.06060606060606061,0.125,0.29411764705882354,0.0,1.0,0.0,0.607142857142857,1.0,0.36,0.3599999999999999,1.0,0.75
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857142,0.0,0.0,0.0,0.0,0.0,0.7142857142857142,0.0
0.1623931623931624,0.19863013698630136,0.09821428571428571,0.6444444444444445,0.5,0.06060606060606061,0.3125,0.058823529411764705,0.0,0.7857142857142857,0.5,0.909090909090909,1.0,0.8,0.7999999999999997,0.7857142857142857,0.5
0.15384615384615385,0.2705479452054794,0.125,0.3111111111111111,0.55,0.0,0.0,0.1764705882352941,0.0,0.8571428571428571,0.5,0.7724999999999999,1.0,0.62,0.6200000000000002,0.8571428571428571,0.55
0.20854700854700856,0.2876712328767123,0.09821428571428571,0.26666666666666666,0.6000000000000001,0.0,0.0,0.11764705882352941,0.0,0.8571428571428571,0.0,0.7499999999999999,1.0,0.58,0.58,0.8571428571428571,0.6000000000000001
0.252991452991453,0.3424657534246575,0.13392857142857142,0.33333333333333337,0.65,0.030303030303030304,0.0,0.11764705882352941,0.0,0.7857142857142857,0.5,0.909090909090909,1.0,0.8,0.7999999999999997,0.7857142857142857,0.65
0.19829059829059828,0.3013698630136986,0.2589285714285714,0.2888888888888889,0.55,0.0,0.0,0.0,0.0,0.7857142857142857,0.5,0.8636363636363635,1.0,0.6799999999999999,0.68,0.7857142857142857,0.55
0.5863247863247864,0.636986301369863,0.26785714285714285,0.6444444444444445,0.65,0.06060606060606061,0.125,0.23529411764705882,0.0,0.7142857142857142,0.8500000000000001,0.9849999999999999,1.0,0.96,0.9599999999999999,0.7142857142857142,0.65
0.13675213675213677,0.25,0.2232142857142857,0.2,0.30000000000000004,0.0,0.0,0.11764705882352941,0.0,0.7142857142857142,0.0,0.4149999999999999,1.0,0.17999999999999994,0.17999999999999994,0.7142857142857142,0.30000000000000004
0.13162393162393163,0.39383561643835613,0.1607142857142857,0.2,0.4,0.0,0.0,0.0,0.0,0.7142857142857142,0.0,0.6499999999999999,1.0,0.45999999999999996,0.4600000000000001,0.7142857142857142,0.4
0.21196581196581196,0.2054794520547945,0.04464285714285714,0.26666666666666666,0.6000000000000001,0.030303030303030304,0.3125,0.11764705882352941,0.0,0.7142857142857142,0.5,0.8999999999999998,1.0,0.76,0.7599999999999999,0.7142857142857142,0.6000000000000001
0.24957264957264957,0.3082191780821918,0.16964285714285712,0.26666666666666666,0.65,0.0,0.0,0.1764705882352941,0.0,0.7857142857142857,1.0,0.9999999999999999,1.0,0.98,0.9799999999999996,0.7857142857142857,0.65
